dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
aU0n2RXwQJC,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:27.394+0000,,false
LiSyn6bblsc,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:24:39.316+0000,,false
vC9pW0FEvd2,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:09.264+0000,,false
sv6SeKroHPV,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:20:34.669+0000,,false
D9A0afrTYPw,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:22:39.591+0000,,false
MxD5pnf5rVM,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:25:11.943+0000,,false
sQ4EexvvhVe,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:00.199+0000,,false
y6ofkvr4JP8,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:27:28.549+0000,,false
p9EPi77rptk,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:29:44.486+0000,,false
uqferbMcOHI,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:30:36.033+0000,,false
kY9yLRb9w5e,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:29:30.453+0000,,false
eJ6uwSt5TEp,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:37:44.302+0000,,false
USDfyVr5d8d,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:33:05.405+0000,,false
JhvC7ZR9hUe,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:58.180+0000,,false
